序号,层路径,类型,输入形状,输出形状,作用,参数量,可训练参数量,MACs_per_patch,FLOPs_per_patch_approx
47,features.5.block.0,Conv2d,"[1,32,8,8]","[1,64,8,8]",通道投影与融合；Conv 32→64，kernel=1×1，stride=1×1，dilation=1×1，groups=1,2048,2048,131072,262144
48,features.5.block.1,BatchNorm2d,"[1,64,8,8]","[1,64,8,8]",批归一化，稳定特征分布；affine=True,128,128,,
49,features.5.block.2,ReLU6,"[1,64,8,8]","[1,64,8,8]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
50,features.5.block.3,Conv2d,"[1,64,8,8]","[1,64,8,8]",逐通道空间特征提取；Conv 64→64，kernel=3×3，stride=1×1，dilation=1×1，groups=64,576,576,36864,73728
51,features.5.block.4,BatchNorm2d,"[1,64,8,8]","[1,64,8,8]",批归一化，稳定特征分布；affine=True,128,128,,
52,features.5.block.5,ReLU6,"[1,64,8,8]","[1,64,8,8]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
53,features.5.block.6,Conv2d,"[1,64,8,8]","[1,48,8,8]",通道投影与融合；Conv 64→48，kernel=1×1，stride=1×1，dilation=1×1，groups=1,3072,3072,196608,393216
54,features.5.block.7,BatchNorm2d,"[1,48,8,8]","[1,48,8,8]",批归一化，稳定特征分布；affine=True,96,96,,
55,features.6,InvertedResidual,"[1,48,8,8]","[1,48,8,8]",MobileNetV2 倒残差块：扩展、深度卷积、线性投影；带残差相加；计算量由子层统计,0,0,,
56,features.6.block.0,Conv2d,"[1,48,8,8]","[1,96,8,8]",通道投影与融合；Conv 48→96，kernel=1×1，stride=1×1，dilation=1×1，groups=1,4608,4608,294912,589824
57,features.6.block.1,BatchNorm2d,"[1,96,8,8]","[1,96,8,8]",批归一化，稳定特征分布；affine=True,192,192,,
58,features.6.block.2,ReLU6,"[1,96,8,8]","[1,96,8,8]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
59,features.6.block.3,Conv2d,"[1,96,8,8]","[1,96,8,8]",逐通道空间特征提取；Conv 96→96，kernel=3×3，stride=1×1，dilation=1×1，groups=96,864,864,55296,110592
60,features.6.block.4,BatchNorm2d,"[1,96,8,8]","[1,96,8,8]",批归一化，稳定特征分布；affine=True,192,192,,
61,features.6.block.5,ReLU6,"[1,96,8,8]","[1,96,8,8]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
62,features.6.block.6,Conv2d,"[1,96,8,8]","[1,48,8,8]",通道投影与融合；Conv 96→48，kernel=1×1，stride=1×1，dilation=1×1，groups=1,4608,4608,294912,589824
63,features.6.block.7,BatchNorm2d,"[1,48,8,8]","[1,48,8,8]",批归一化，稳定特征分布；affine=True,96,96,,
64,features.7,InvertedResidual,"[1,48,8,8]","[1,64,8,8]",MobileNetV2 倒残差块：扩展、深度卷积、线性投影；不使用残差；计算量由子层统计,0,0,,
65,features.7.block.0,Conv2d,"[1,48,8,8]","[1,96,8,8]",通道投影与融合；Conv 48→96，kernel=1×1，stride=1×1，dilation=1×1，groups=1,4608,4608,294912,589824
66,features.7.block.1,BatchNorm2d,"[1,96,8,8]","[1,96,8,8]",批归一化，稳定特征分布；affine=True,192,192,,
67,features.7.block.2,ReLU6,"[1,96,8,8]","[1,96,8,8]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
68,features.7.block.3,Conv2d,"[1,96,8,8]","[1,96,8,8]",逐通道空间特征提取；Conv 96→96，kernel=3×3，stride=1×1，dilation=1×1，groups=96,864,864,55296,110592
69,features.7.block.4,BatchNorm2d,"[1,96,8,8]","[1,96,8,8]",批归一化，稳定特征分布；affine=True,192,192,,
70,features.7.block.5,ReLU6,"[1,96,8,8]","[1,96,8,8]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
71,features.7.block.6,Conv2d,"[1,96,8,8]","[1,64,8,8]",通道投影与融合；Conv 96→64，kernel=1×1，stride=1×1，dilation=1×1，groups=1,6144,6144,393216,786432
72,features.7.block.7,BatchNorm2d,"[1,64,8,8]","[1,64,8,8]",批归一化，稳定特征分布；affine=True,128,128,,
73,adapter.0,Conv2d,"[1,64,8,8]","[1,96,8,8]",通道投影与融合；Conv 64→96，kernel=1×1，stride=1×1，dilation=1×1，groups=1,6144,6144,393216,786432
74,adapter.1,BatchNorm2d,"[1,96,8,8]","[1,96,8,8]",批归一化，稳定特征分布；affine=True,192,192,,
75,adapter.2,ReLU6,"[1,96,8,8]","[1,96,8,8]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
76,coordinate_attention,CoordinateAttention,"[1,96,8,8]","[1,96,8,8]",分别编码高度与宽度上下文并重标定特征；计算量由子层统计,0,0,,
77,coordinate_attention.shared_projection.0,Conv2d,"[1,96,16,1]","[1,8,16,1]",通道投影与融合；Conv 96→8，kernel=1×1，stride=1×1，dilation=1×1，groups=1,768,768,12288,24576
78,coordinate_attention.shared_projection.1,BatchNorm2d,"[1,8,16,1]","[1,8,16,1]",批归一化，稳定特征分布；affine=True,16,16,,
79,coordinate_attention.shared_projection.2,Hardswish,"[1,8,16,1]","[1,8,16,1]",Hardswish 轻量平滑激活,0,0,,
80,coordinate_attention.height_projection,Conv2d,"[1,8,8,1]","[1,96,8,1]",通道投影与融合；Conv 8→96，kernel=1×1，stride=1×1，dilation=1×1，groups=1,864,864,6144,12288
81,coordinate_attention.width_projection,Conv2d,"[1,8,1,8]","[1,96,1,8]",通道投影与融合；Conv 8→96，kernel=1×1，stride=1×1，dilation=1×1，groups=1,864,864,6144,12288
82,descriptor_head.0,Dropout,"[1,96,8,8]","[1,96,8,8]",训练时随机失活，p=0.12,0,0,,
83,descriptor_head.1,Conv2d,"[1,96,8,8]","[1,192,1,1]",逐通道空间特征提取；Conv 96→192，kernel=8×8，stride=1×1，dilation=1×1，groups=96,12288,12288,12288,24576
84,descriptor_head.2,Conv2d,"[1,192,1,1]","[1,256,1,1]",通道投影与融合；Conv 192→256，kernel=1×1，stride=1×1，dilation=1×1，groups=1,49152,49152,49152,98304
85,descriptor_head.3,BatchNorm2d,"[1,256,1,1]","[1,256,1,1]",批归一化，稳定特征分布；affine=False,0,0,,
