序号,层路径,类型,输入形状,输出形状,作用,参数量,可训练参数量,MACs_per_patch,FLOPs_per_patch_approx
15,stage1.0.conv1,Conv2d,"[1,32,32,32]","[1,32,32,32]",局部空间特征提取；Conv 32→32，kernel=3×3，stride=1×1，dilation=1×1，groups=1,9216,9216,9437184,18874368
16,stage1.0.norm2,GroupNorm,"[1,32,32,32]","[1,32,32,32]",组归一化；groups=8，channels=32,64,64,,
17,stage1.0.conv2,Conv2d,"[1,32,32,32]","[1,32,32,32]",局部空间特征提取；Conv 32→32，kernel=3×3，stride=1×1，dilation=1×1，groups=1,9216,9216,9437184,18874368
18,stage1.0.drop_path,DropPath,"[1,32,32,32]","[1,32,32,32]",训练时按样本随机丢弃残差路径，p=0.0,0,0,,
19,down1,StableResBlock,"[1,32,32,32]","[1,64,16,16]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,64,64,,
20,down1.downsample,AvgPool2d,"[1,32,32,32]","[1,32,16,16]",平均池化抗混叠下采样；kernel=2，stride=2,0,0,,
21,down1.shortcut,Conv2d,"[1,32,16,16]","[1,64,16,16]",通道投影与融合；Conv 32→64，kernel=1×1，stride=1×1，dilation=1×1，groups=1,2048,2048,524288,1048576
22,down1.norm1,GroupNorm,"[1,32,16,16]","[1,32,16,16]",组归一化；groups=8，channels=32,64,64,,
23,down1.conv1,Conv2d,"[1,32,16,16]","[1,64,16,16]",局部空间特征提取；Conv 32→64，kernel=3×3，stride=1×1，dilation=1×1，groups=1,18432,18432,4718592,9437184
24,down1.norm2,GroupNorm,"[1,64,16,16]","[1,64,16,16]",组归一化；groups=8，channels=64,128,128,,
25,down1.conv2,Conv2d,"[1,64,16,16]","[1,64,16,16]",局部空间特征提取；Conv 64→64，kernel=3×3，stride=1×1，dilation=1×1，groups=1,36864,36864,9437184,18874368
26,down1.drop_path,DropPath,"[1,64,16,16]","[1,64,16,16]",训练时按样本随机丢弃残差路径，p=0.013333333333333334,0,0,,
27,stage2.0,StableResBlock,"[1,64,16,16]","[1,64,16,16]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,64,64,,
28,stage2.0.downsample,Identity,"[1,64,16,16]","[1,64,16,16]",恒等映射，保持残差捷径不变,0,0,,
29,stage2.0.shortcut,Identity,"[1,64,16,16]","[1,64,16,16]",恒等映射，保持残差捷径不变,0,0,,
30,stage2.0.norm1,GroupNorm,"[1,64,16,16]","[1,64,16,16]",组归一化；groups=8，channels=64,128,128,,
31,stage2.0.conv1,Conv2d,"[1,64,16,16]","[1,64,16,16]",局部空间特征提取；Conv 64→64，kernel=3×3，stride=1×1，dilation=1×1，groups=1,36864,36864,9437184,18874368
32,stage2.0.norm2,GroupNorm,"[1,64,16,16]","[1,64,16,16]",组归一化；groups=8，channels=64,128,128,,
33,stage2.0.conv2,Conv2d,"[1,64,16,16]","[1,64,16,16]",局部空间特征提取；Conv 64→64，kernel=3×3，stride=1×1，dilation=1×1，groups=1,36864,36864,9437184,18874368
34,stage2.0.drop_path,DropPath,"[1,64,16,16]","[1,64,16,16]",训练时按样本随机丢弃残差路径，p=0.02666666666666667,0,0,,
35,stage2.1,StableResBlock,"[1,64,16,16]","[1,64,16,16]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,64,64,,
36,stage2.1.downsample,Identity,"[1,64,16,16]","[1,64,16,16]",恒等映射，保持残差捷径不变,0,0,,
37,stage2.1.shortcut,Identity,"[1,64,16,16]","[1,64,16,16]",恒等映射，保持残差捷径不变,0,0,,
38,stage2.1.norm1,GroupNorm,"[1,64,16,16]","[1,64,16,16]",组归一化；groups=8，channels=64,128,128,,
39,stage2.1.conv1,Conv2d,"[1,64,16,16]","[1,64,16,16]",局部空间特征提取；Conv 64→64，kernel=3×3，stride=1×1，dilation=1×1，groups=1,36864,36864,9437184,18874368
40,stage2.1.norm2,GroupNorm,"[1,64,16,16]","[1,64,16,16]",组归一化；groups=8，channels=64,128,128,,
41,stage2.1.conv2,Conv2d,"[1,64,16,16]","[1,64,16,16]",局部空间特征提取；Conv 64→64，kernel=3×3，stride=1×1，dilation=1×1，groups=1,36864,36864,9437184,18874368
42,stage2.1.drop_path,DropPath,"[1,64,16,16]","[1,64,16,16]",训练时按样本随机丢弃残差路径，p=0.04,0,0,,
43,down2,StableResBlock,"[1,64,16,16]","[1,128,8,8]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,128,128,,
44,down2.downsample,AvgPool2d,"[1,64,16,16]","[1,64,8,8]",平均池化抗混叠下采样；kernel=2，stride=2,0,0,,
45,down2.shortcut,Conv2d,"[1,64,8,8]","[1,128,8,8]",通道投影与融合；Conv 64→128，kernel=1×1，stride=1×1，dilation=1×1，groups=1,8192,8192,524288,1048576
46,down2.norm1,GroupNorm,"[1,64,8,8]","[1,64,8,8]",组归一化；groups=8，channels=64,128,128,,
47,down2.conv1,Conv2d,"[1,64,8,8]","[1,128,8,8]",局部空间特征提取；Conv 64→128，kernel=3×3，stride=1×1，dilation=1×1，groups=1,73728,73728,4718592,9437184
48,down2.norm2,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,256,,
49,down2.conv2,Conv2d,"[1,128,8,8]","[1,128,8,8]",局部空间特征提取；Conv 128→128，kernel=3×3，stride=1×1，dilation=1×1，groups=1,147456,147456,9437184,18874368
50,down2.drop_path,DropPath,"[1,128,8,8]","[1,128,8,8]",训练时按样本随机丢弃残差路径，p=0.05333333333333334,0,0,,
51,stage3.0,StableResBlock,"[1,128,8,8]","[1,128,8,8]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,128,128,,
52,stage3.0.downsample,Identity,"[1,128,8,8]","[1,128,8,8]",恒等映射，保持残差捷径不变,0,0,,
53,stage3.0.shortcut,Identity,"[1,128,8,8]","[1,128,8,8]",恒等映射，保持残差捷径不变,0,0,,
54,stage3.0.norm1,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,256,,
55,stage3.0.conv1,Conv2d,"[1,128,8,8]","[1,128,8,8]",局部空间特征提取；Conv 128→128，kernel=3×3，stride=1×1，dilation=1×1，groups=1,147456,147456,9437184,18874368
56,stage3.0.norm2,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,256,,
57,stage3.0.conv2,Conv2d,"[1,128,8,8]","[1,128,8,8]",局部空间特征提取；Conv 128→128，kernel=3×3，stride=1×1，dilation=1×1，groups=1,147456,147456,9437184,18874368
58,stage3.0.drop_path,DropPath,"[1,128,8,8]","[1,128,8,8]",训练时按样本随机丢弃残差路径，p=0.06666666666666667,0,0,,
59,stage3.1,StableResBlock,"[1,128,8,8]","[1,128,8,8]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,128,128,,
60,stage3.1.downsample,Identity,"[1,128,8,8]","[1,128,8,8]",恒等映射，保持残差捷径不变,0,0,,
61,stage3.1.shortcut,Identity,"[1,128,8,8]","[1,128,8,8]",恒等映射，保持残差捷径不变,0,0,,
62,stage3.1.norm1,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,256,,
63,stage3.1.conv1,Conv2d,"[1,128,8,8]","[1,128,8,8]",局部空间特征提取；Conv 128→128，kernel=3×3，stride=1×1，dilation=1×1，groups=1,147456,147456,9437184,18874368
64,stage3.1.norm2,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,256,,
65,stage3.1.conv2,Conv2d,"[1,128,8,8]","[1,128,8,8]",局部空间特征提取；Conv 128→128，kernel=3×3，stride=1×1，dilation=1×1，groups=1,147456,147456,9437184,18874368
66,stage3.1.drop_path,DropPath,"[1,128,8,8]","[1,128,8,8]",训练时按样本随机丢弃残差路径，p=0.08,0,0,,
67,fine_projection.0,Conv2d,"[1,64,16,16]","[1,32,16,16]",通道投影与融合；Conv 64→32，kernel=1×1，stride=1×1，dilation=1×1，groups=1,2048,2048,524288,1048576
68,fine_projection.1,GroupNorm,"[1,32,16,16]","[1,32,16,16]",组归一化；groups=8，channels=32,64,64,,
69,fine_projection.2,SiLU,"[1,32,16,16]","[1,32,16,16]",SiLU 平滑非线性激活,0,0,,
70,context,ContextMixer,"[1,160,8,8]","[1,128,8,8]",以扩张 depthwise 3×3 和 pointwise 1×1 单路径混合上下文；计算量由子层统计,128,128,,
71,context.input_projection.0,Conv2d,"[1,160,8,8]","[1,128,8,8]",通道投影与融合；Conv 160→128，kernel=1×1，stride=1×1，dilation=1×1，groups=1,20480,20480,1310720,2621440
72,context.input_projection.1,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,256,,
73,context.input_projection.2,SiLU,"[1,128,8,8]","[1,128,8,8]",SiLU 平滑非线性激活,0,0,,
74,context.depthwise,Conv2d,"[1,128,8,8]","[1,128,8,8]",逐通道空间特征提取；Conv 128→128，kernel=3×3，stride=1×1，dilation=2×2，groups=128,1152,1152,73728,147456
75,context.norm,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,256,,
76,context.pointwise,Conv2d,"[1,128,8,8]","[1,128,8,8]",通道投影与融合；Conv 128→128，kernel=1×1，stride=1×1，dilation=1×1，groups=1,16384,16384,1048576,2097152
77,context.drop_path,DropPath,"[1,128,8,8]","[1,128,8,8]",训练时按样本随机丢弃残差路径，p=0.08,0,0,,
78,head_norm.0,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,256,,
79,head_norm.1,SiLU,"[1,128,8,8]","[1,128,8,8]",SiLU 平滑非线性激活,0,0,,
80,spatial_projection.0,Conv2d,"[1,128,8,8]","[1,128,1,1]",逐通道空间特征提取；Conv 128→128，kernel=8×8，stride=1×1，dilation=1×1，groups=128,8192,8192,8192,16384
81,spatial_projection.1,GroupNorm,"[1,128,1,1]","[1,128,1,1]",组归一化；groups=8，channels=128,256,256,,
82,spatial_projection.2,SiLU,"[1,128,1,1]","[1,128,1,1]",SiLU 平滑非线性激活,0,0,,
83,spatial_projection.3,Dropout2d,"[1,128,1,1]","[1,128,1,1]",训练时按通道随机失活，p=0.06,0,0,,
84,spatial_projection.4,Conv2d,"[1,128,1,1]","[1,256,1,1]",通道投影与融合；Conv 128→256，kernel=1×1，stride=1×1，dilation=1×1，groups=1,32768,32768,32768,65536
85,global_pool,GeM,"[1,128,8,8]","[1,128,1,1]",可学习广义均值全局池化，兼顾峰值响应和整体稳定性,1,1,,
86,global_projection,Linear,"[1,128]","[1,256]",全连接特征投影 128→256,32768,32768,32768,65536
87,fusion,ScalarWeightedFusion,"([1,256], [1,256])","[1,256]",单位化空间/全局描述子，并以一个可学习标量加权融合；计算量由子层统计,1,1,,
88,fusion.dropout,Dropout,"[1,256]","[1,256]",训练时随机失活，p=0.12,0,0,,
89,output_norm,BatchNorm1d,"[1,256]","[1,256]",批归一化，稳定特征分布；affine=False,0,0,,
