序号,层路径,类型,输入形状,输出形状,作用,参数量,可训练参数量,MACs_per_patch,FLOPs_per_patch_approx
39,backbone.stage2.1.conv1,Conv2d,"[1,64,16,16]","[1,64,16,16]",局部空间特征提取；Conv 64→64，kernel=3×3，stride=1×1，dilation=1×1，groups=1,36864,0,9437184,18874368
40,backbone.stage2.1.norm2,GroupNorm,"[1,64,16,16]","[1,64,16,16]",组归一化；groups=8，channels=64,128,0,,
41,backbone.stage2.1.conv2,Conv2d,"[1,64,16,16]","[1,64,16,16]",局部空间特征提取；Conv 64→64，kernel=3×3，stride=1×1，dilation=1×1，groups=1,36864,0,9437184,18874368
42,backbone.stage2.1.drop_path,DropPath,"[1,64,16,16]","[1,64,16,16]",训练时按样本随机丢弃残差路径，p=0.04,0,0,,
43,backbone.down2,StableResBlock,"[1,64,16,16]","[1,128,8,8]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,128,0,,
44,backbone.down2.downsample,AvgPool2d,"[1,64,16,16]","[1,64,8,8]",平均池化抗混叠下采样；kernel=2，stride=2,0,0,,
45,backbone.down2.shortcut,Conv2d,"[1,64,8,8]","[1,128,8,8]",通道投影与融合；Conv 64→128，kernel=1×1，stride=1×1，dilation=1×1，groups=1,8192,0,524288,1048576
46,backbone.down2.norm1,GroupNorm,"[1,64,8,8]","[1,64,8,8]",组归一化；groups=8，channels=64,128,0,,
47,backbone.down2.conv1,Conv2d,"[1,64,8,8]","[1,128,8,8]",局部空间特征提取；Conv 64→128，kernel=3×3，stride=1×1，dilation=1×1，groups=1,73728,0,4718592,9437184
48,backbone.down2.norm2,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,0,,
49,backbone.down2.conv2,Conv2d,"[1,128,8,8]","[1,128,8,8]",局部空间特征提取；Conv 128→128，kernel=3×3，stride=1×1，dilation=1×1，groups=1,147456,0,9437184,18874368
50,backbone.down2.drop_path,DropPath,"[1,128,8,8]","[1,128,8,8]",训练时按样本随机丢弃残差路径，p=0.05333333333333334,0,0,,
51,backbone.stage3.0,StableResBlock,"[1,128,8,8]","[1,128,8,8]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,128,0,,
52,backbone.stage3.0.downsample,Identity,"[1,128,8,8]","[1,128,8,8]",恒等映射，保持残差捷径不变,0,0,,
53,backbone.stage3.0.shortcut,Identity,"[1,128,8,8]","[1,128,8,8]",恒等映射，保持残差捷径不变,0,0,,
54,backbone.stage3.0.norm1,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,0,,
55,backbone.stage3.0.conv1,Conv2d,"[1,128,8,8]","[1,128,8,8]",局部空间特征提取；Conv 128→128，kernel=3×3，stride=1×1，dilation=1×1，groups=1,147456,0,9437184,18874368
56,backbone.stage3.0.norm2,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,0,,
57,backbone.stage3.0.conv2,Conv2d,"[1,128,8,8]","[1,128,8,8]",局部空间特征提取；Conv 128→128，kernel=3×3，stride=1×1，dilation=1×1，groups=1,147456,0,9437184,18874368
58,backbone.stage3.0.drop_path,DropPath,"[1,128,8,8]","[1,128,8,8]",训练时按样本随机丢弃残差路径，p=0.06666666666666667,0,0,,
59,backbone.stage3.1,StableResBlock,"[1,128,8,8]","[1,128,8,8]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,128,0,,
60,backbone.stage3.1.downsample,Identity,"[1,128,8,8]","[1,128,8,8]",恒等映射，保持残差捷径不变,0,0,,
61,backbone.stage3.1.shortcut,Identity,"[1,128,8,8]","[1,128,8,8]",恒等映射，保持残差捷径不变,0,0,,
62,backbone.stage3.1.norm1,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,0,,
63,backbone.stage3.1.conv1,Conv2d,"[1,128,8,8]","[1,128,8,8]",局部空间特征提取；Conv 128→128，kernel=3×3，stride=1×1，dilation=1×1，groups=1,147456,0,9437184,18874368
64,backbone.stage3.1.norm2,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,0,,
65,backbone.stage3.1.conv2,Conv2d,"[1,128,8,8]","[1,128,8,8]",局部空间特征提取；Conv 128→128，kernel=3×3，stride=1×1，dilation=1×1，groups=1,147456,0,9437184,18874368
66,backbone.stage3.1.drop_path,DropPath,"[1,128,8,8]","[1,128,8,8]",训练时按样本随机丢弃残差路径，p=0.08,0,0,,
67,backbone.fine_projection.0,Conv2d,"[1,64,16,16]","[1,32,16,16]",通道投影与融合；Conv 64→32，kernel=1×1，stride=1×1，dilation=1×1，groups=1,2048,0,524288,1048576
68,backbone.fine_projection.1,GroupNorm,"[1,32,16,16]","[1,32,16,16]",组归一化；groups=8，channels=32,64,0,,
69,backbone.fine_projection.2,SiLU,"[1,32,16,16]","[1,32,16,16]",SiLU 平滑非线性激活,0,0,,
70,backbone.context,ContextMixer,"[1,160,8,8]","[1,128,8,8]",以扩张 depthwise 3×3 和 pointwise 1×1 单路径混合上下文；计算量由子层统计,128,0,,
71,backbone.context.input_projection.0,Conv2d,"[1,160,8,8]","[1,128,8,8]",通道投影与融合；Conv 160→128，kernel=1×1，stride=1×1，dilation=1×1，groups=1,20480,0,1310720,2621440
72,backbone.context.input_projection.1,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,0,,
73,backbone.context.input_projection.2,SiLU,"[1,128,8,8]","[1,128,8,8]",SiLU 平滑非线性激活,0,0,,
74,backbone.context.depthwise,Conv2d,"[1,128,8,8]","[1,128,8,8]",逐通道空间特征提取；Conv 128→128，kernel=3×3，stride=1×1，dilation=2×2，groups=128,1152,0,73728,147456
75,backbone.context.norm,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,0,,
76,backbone.context.pointwise,Conv2d,"[1,128,8,8]","[1,128,8,8]",通道投影与融合；Conv 128→128，kernel=1×1，stride=1×1，dilation=1×1，groups=1,16384,0,1048576,2097152
77,backbone.context.drop_path,DropPath,"[1,128,8,8]","[1,128,8,8]",训练时按样本随机丢弃残差路径，p=0.08,0,0,,
78,backbone.head_norm.0,GroupNorm,"[1,128,8,8]","[1,128,8,8]",组归一化；groups=8，channels=128,256,0,,
79,backbone.head_norm.1,SiLU,"[1,128,8,8]","[1,128,8,8]",SiLU 平滑非线性激活,0,0,,
80,backbone.spatial_projection.0,Conv2d,"[1,128,8,8]","[1,128,1,1]",逐通道空间特征提取；Conv 128→128，kernel=8×8，stride=1×1，dilation=1×1，groups=128,8192,0,8192,16384
81,backbone.spatial_projection.1,GroupNorm,"[1,128,1,1]","[1,128,1,1]",组归一化；groups=8，channels=128,256,0,,
82,backbone.spatial_projection.2,SiLU,"[1,128,1,1]","[1,128,1,1]",SiLU 平滑非线性激活,0,0,,
83,backbone.spatial_projection.3,Dropout2d,"[1,128,1,1]","[1,128,1,1]",训练时按通道随机失活，p=0.06,0,0,,
84,backbone.spatial_projection.4,Conv2d,"[1,128,1,1]","[1,256,1,1]",通道投影与融合；Conv 128→256，kernel=1×1，stride=1×1，dilation=1×1，groups=1,32768,0,32768,65536
85,backbone.global_pool,GeM,"[1,128,8,8]","[1,128,1,1]",可学习广义均值全局池化，兼顾峰值响应和整体稳定性,1,0,,
86,backbone.global_projection,Linear,"[1,128]","[1,256]",全连接特征投影 128→256,32768,0,32768,65536
87,backbone.fusion,ScalarWeightedFusion,"([1,256], [1,256])","[1,256]",单位化空间/全局描述子，并以一个可学习标量加权融合；计算量由子层统计,1,0,,
88,backbone.fusion.dropout,Dropout,"[1,256]","[1,256]",训练时随机失活，p=0.12,0,0,,
89,backbone.output_norm,BatchNorm1d,"[1,256]","[1,256]",批归一化，稳定特征分布；affine=False,0,0,,
90,hash_head,ResidualHashHead,"[1,256]","[1,512]",浮点描述子投影及残差哈希变换；计算量由子层统计,1024,1024,,
91,hash_head.input_norm,LayerNorm,"[1,256]","[1,256]","对末端维度 (256,) 做层归一化",512,512,,
92,hash_head.input_projection,Linear,"[1,256]","[1,512]",全连接特征投影 256→512,131072,131072,131072,262144
93,hash_head.residual_norm,LayerNorm,"[1,512]","[1,512]","对末端维度 (512,) 做层归一化",1024,1024,,
94,hash_head.expand,Linear,"[1,512]","[1,1024]",全连接特征投影 512→1024,525312,525312,524288,1048576
95,hash_head.activation,GELU,"[1,1024]","[1,1024]",GELU 平滑非线性激活,0,0,,
96,hash_head.dropout,Dropout,"[1,1024]","[1,1024]",训练时随机失活，p=0.1,0,0,,
97,hash_head.contract,Linear,"[1,1024]","[1,512]",全连接特征投影 1024→512,524800,524800,524288,1048576
98,hash_head.output_norm,LayerNorm,"[1,512]","[1,512]","对末端维度 (512,) 做层归一化",1024,1024,,
99,hash_head.output_projection,Linear,"[1,512]","[1,512]",全连接特征投影 512→512,262656,262656,262144,524288
